# Provides a simple reset and then 10692 fast commands with 3 event packets (with 7 BXs of delay)
# The data idle word will contain the special 0x9 header for BC0
# Hard reset,Soft reset,Aligner Ch0 (32 bit),Aligner Ch1 (32 bit),Aligner Ch2 (32 bit),Aligner Ch3 (32 bit),Aligner Ch4 (32 bit),Aligner Ch5 (32 bit),Aligner Ch6 (32 bit),Aligner Ch7 (32 bit),Aligner Ch8 (32 bit),Aligner Ch9 (32 bit),Aligner Ch10 (32 bit),Aligner Ch11 (32 bit),Fast Command (8 bit)
# start
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
# reset
0,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
0,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
0,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
# 10692 fast commands 
1,1,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
